point_id,longitude,latitude,depth,log_clay_sand,log_silt_sand
ctb0020-Fazenda-Alvorada-SPD12-area01,-45.2066666666667,-9.34527777777778,40,-2.84781214347737,-0.93826963859293
ctb0020-Fazenda-Alvorada-SPD12-area02,-45.2065525277515,-9.34516117637935,5,-1.8067973465926,-1.11365016603265
ctb0020-Fazenda-Alvorada-SPD12-area02,-45.2065525277515,-9.34516117637935,15,-1.91692261218206,-1.12846525181779
ctb0020-Fazenda-Alvorada-SPD12-area02,-45.2065525277515,-9.34516117637935,25,-3.52636052461616,-0.818310323513951
ctb0020-Fazenda-Alvorada-SPD12-area02,-45.2065525277515,-9.34516117637935,40,-3.10608033072286,-0.803495237728811
ctb0020-Fazenda-Alvorada-SPD3-area01,-45.2344444444444,-9.39222222222222,5,-3.70130197411249,-1.56123581061622
ctb0020-Fazenda-Alvorada-SPD3-area01,-45.2344444444444,-9.39222222222222,15,-3.28341434600577,-1.54881329061767
ctb0020-Fazenda-Alvorada-SPD3-area01,-45.2344444444444,-9.39222222222222,25,-4.40671924726425,-1.57350590320804
ctb0020-Fazenda-Alvorada-SPD3-area01,-45.2344444444444,-9.39222222222222,40,-4.36944785246702,-1.37371557891303
ctb0020-Fazenda-Alvorada-SPD3-area02,-45.2346106782587,-9.39247683761223,5,-4.38202663467388,-1.43758765550744
ctb0020-Fazenda-Alvorada-SPD3-area02,-45.2346106782587,-9.39247683761223,15,-4.40671924726425,-1.57350590320804
ctb0020-Fazenda-Alvorada-SPD3-area02,-45.2346106782587,-9.39247683761223,25,-4.39444915467244,-1.50407739677627
ctb0020-Fazenda-Alvorada-SPD3-area02,-45.2346106782587,-9.39247683761223,40,-4.38202663467388,-1.43758765550744
ctb0020-Fazenda-Alvorada-SPD6-area01,-45.2380555555556,-9.33888888888889,5,-4.39444915467244,-1.50407739677627
ctb0020-Fazenda-Alvorada-SPD6-area01,-45.2380555555556,-9.33888888888889,15,-4.38202663467388,-1.43758765550744
ctb0020-Fazenda-Alvorada-SPD6-area01,-45.2380555555556,-9.33888888888889,25,-4.36944785246702,-1.37371557891303
ctb0020-Fazenda-Alvorada-SPD6-area01,-45.2380555555556,-9.33888888888889,40,-4.36944785246702,-1.37371557891303
ctb0020-Fazenda-Alvorada-SPD6-area02,-45.2381629392027,-9.33879815792344,5,-3.00815479355255,-1.68639895357023
ctb0020-Fazenda-Alvorada-SPD6-area02,-45.2381629392027,-9.33879815792344,15,-4.39444915467244,-1.50407739677627
ctb0020-Fazenda-Alvorada-SPD6-area02,-45.2381629392027,-9.33879815792344,25,-4.40671924726425,-1.57350590320804
ctb0020-Fazenda-Alvorada-SPD6-area02,-45.2381629392027,-9.33879815792344,40,-4.38202663467388,-1.43758765550744
ctb0020-Fazenda-Cajupi-MN,-45.0438888888889,-8.32583333333333,5,-1.7609878105613,-0.940007258491471
ctb0020-Fazenda-Cajupi-MN,-45.0438888888889,-8.32583333333333,15,-2.22847712084032,-0.842182759720433
ctb0020-Fazenda-Cajupi-MN,-45.0438888888889,-8.32583333333333,25,-2.0949457282158,-0.878550403891308
ctb0020-Fazenda-Cajupi-MN,-45.0438888888889,-8.32583333333333,40,-2.21297293430436,-0.791587253373198
ctb0020-Fazenda-Cajupi-SPD15-area01,-45.0711111111111,-8.30472222222222,5,-1.67397643357167,-0.980829253011726
ctb0020-Fazenda-Cajupi-SPD15-area01,-45.0711111111111,-8.30472222222222,15,-1.99243016469021,-0.970778917158225
ctb0020-Fazenda-Cajupi-SPD15-area01,-45.0711111111111,-8.30472222222222,25,-2.22847712084032,-0.842182759720433
ctb0020-Fazenda-Cajupi-SPD15-area01,-45.0711111111111,-8.30472222222222,40,-1.84054963339749,-0.847297860387204
ctb0020-Fazenda-Cajupi-SPD15-area02,-45.0708851299316,-8.30488450616421,5,-0.616186139423817,-0.776528789498996
ctb0020-Fazenda-Cajupi-SPD15-area02,-45.0708851299316,-8.30488450616421,15,-1.15267950993839,-0.824175442966349
ctb0020-Fazenda-Cajupi-SPD15-area02,-45.0708851299316,-8.30488450616421,25,-1.84054963339749,-0.847297860387204
ctb0020-Fazenda-Cajupi-SPD15-area02,-45.0708851299316,-8.30488450616421,40,-2.41293315016291,-0.908855753386637
