point_id,longitude,latitude,depth,log_clay_sand,log_silt_sand
ctb0024-TN3.3 0-50,-54.9198158581947,-2.8415312766567,5,2.63905732961526,1.6094379124341
ctb0024-TN3.3 0-50,-54.9198158581947,-2.8415312766567,15,2.07944154167984,1.25276296849537
ctb0024-TN3.3 100-150,-54.918312835917,-2.84169198103286,5,2.66722820658196,1.52605630349505
ctb0024-TN3.3 100-150,-54.918312835917,-2.84169198103286,15,2.9704144655697,1.50407739677627
ctb0024-TN3.3 150-200,-54.9195032507288,-2.84258315610844,5,3.13549421592915,0
ctb0024-TN3.3 150-200,-54.9195032507288,-2.84258315610844,15,3.40119738166216,0.847297860387204
ctb0024-TN3.3 200-250,-54.9194737859697,-2.84368960072057,5,3.42317628838093,0.510825623765991
ctb0024-TN3.3 200-250,-54.9194737859697,-2.84368960072057,15,2.35815494414886,0.998528830111127
ctb0024-TN3.3 50-100,-54.9201051170063,-2.84300598658287,5,2.39789527279837,1.54044504094715
ctb0024-TN3.3 50-100,-54.9201051170063,-2.84300598658287,15,2.72129542785223,1.33500106673234
ctb0024-TN3.5 150-100,-54.9251020112802,-2.85819560861806,5,4.58496747867057,0
ctb0024-TN3.5 150-100,-54.9251020112802,-2.85819560861806,15,2.39789527279837,1.54044504094715
ctb0024-TN3.5 200-150,-54.9239994526247,-2.85938610810287,5,3.58351893845611,2.56494935746154
ctb0024-TN3.5 200-150,-54.9239994526247,-2.85938610810287,15,2.91777073208428,1.70474809223843
